id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA068;IPA 22-30;valendons;BFa;2022;24/05/2022;;;;;;;;;;2;;5;2;;;;;0,5;;;;;;1;;;;;;;1;;;;;;1;;;;;1,5;1;;;;3;;3,5;1;0,5;;;
IPA069;IPA 22-31;tri_postal;BFa;2022;25/05/2022;;;;;;;;;;2;;;;;;;;;;;;0,5;;1;;;;;;;;;;;;;1;;;;;0,5;;;1;1;1;;0,5;1,5;1,5;;2;
IPA070;IPA 22-32;sq_clement_jannin;BFa;2022;25/05/2022;;;;;;;;;;1;;;1,5;;;;;2,5;;;;;;1;1;;;;0,5;;2;;;;;;1;;;;;1;;;;;5;;;;0,5;;;
IPA071;IPA 22-33;rue_sergent_avril;BFr;2022;27/04/2022;;;;;;0,5;;0,5;;0,5;;0,5;1;1;1;;;;;;;0,5;;1,5;;;;;;;3;;;1;1;;;;2;1;;2;;;;;1,5;;;2;2;1;;0,5
IPA072;IPA 22-34;cimetiere_talant;BFr;2022;27/04/2022;;;;;;;;;;3,5;;;;;1;;;;;;;;;2;;;;;;;3;;;;;;1;;;3;;;;2;;;;1;3,5;1;2;;;
IPA073;IPA 22-35;lac_kir_digue;BFr;2022;27/04/2022;0,5;;0,5;;;;;;;3;;;;;;;;20;;;;;;;2;;;;0,5;;2;;;1;2;;3,5;;;2;;2;;2;;;;;;0,5;;;;
IPA074;IPA 22-36;lac_kir_buste;BFr;2022;27/04/2022;1;0,5;0,5;1;0,5;;;;;3;;;;;;;;20;;;;25;25;1;1;;;;1;;3;;;;;;2,5;;;;;;1;2;;0,5;;;;1;;;;
IPA075;IPA 22-37;ikea;BFr;2022;28/04/2022;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0,5;;1;;3,5;;;1;;;0,5;
IPA076;IPA 22-38;rue_de_cluj;BFr;2022;28/04/2022;;;;;;;;;0,5;2;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;2;0,5;;0,5;;1,5;;0,5;0,5;0,5;;0,5;
IPA077;IPA 22-39;rue_de_malines;BFr;2022;28/04/2022;;;;;;;;;0,5;3;;1;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;;;;1;0,5;;0,5;;;;;2;0,5;;;
IPA078;IPA 22-40;rue_champs_aux_pretres;BFr;2022;28/04/2022;;;;;;;;;;2,5;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;1;2;;;;1;2;;0,5;;2,5;;0,5;1;0,5;;0,5;
IPA079;IPA 22-41;redoute_st_apo;BFr;2022;01/05/2022;;;;;;;;;0,5;4;;;;;;;;;;;;;;0,5;0,5;;;;;;2;;;;2;;3;;;;;0,5;;2;;;1,5;;0,5;1;0,5;;;1
IPA080;IPA 22-42;rue_des_pres_potet;BFr;2022;30/04/2022;;;;;;;;;;1,5;;;;;;;;;1;;;;;2;;;;;;;1;;;;;;;0,5;;1;;;0,5;;1;;1,5;0,5;1;2;;;;
IPA081;IPA 22-43;rue_de_langres;BFr;2022;01/05/2022;;;;;;;;;;2;;3;2;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;1;1,5;;;;2;;;1;;;;
IPA082;IPA 22-44;avenue_jean_bertin;BFr;2022;02/05/2022;;;;;;;;;;1,5;;;;;;;;;;;;;;1,5;0,5;;;;;;;;;;;;1,5;;;;;2;1,5;1;;1;0,5;;;0,5;;;2,5;
IPA083;IPA 22-45;avenue_concorde;BFr;2022;02/05/2022;;;;;;;0,5;;;2,5;;;0,5;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;2;;;;;3;;;2,5;1,5;0,5;;
IPA084;IPA 22-46;parc_basses_combottes;BFr;2022;04/05/2022;;;;;;;0,5;;;1,5;;25;1;;;;;0,5;;;;;;2;0,5;;;;;;3;;;;;;1;1;;;;2;;;;;1;;2,5;2;0,5;;;
IPA085;IPA 22-47;parc_coteaux_du_suzon;BFr;2022;02/05/2022;;;1,5;;;;0,5;;;2,5;;;;;;;;;;;;;;1;;;;;;;2;;;;1;1;2,5;;;2;;1;;;;;0,5;;;1;1;;;
